event_title,talk_title,talk_speakers,talk_description
https://socialdatascience.network/fall2023/sess4.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Ghita Berrada, LSE', 'Dr. Divya Srivastava, LSE', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Promoting the systematic use of real-world data and real-world evidence for digital health technologies across Europe: A consensus framework', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2023/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Petra Novak, CEU', 'Prof. Elisa Omodei, CEU', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Data science for the Sustainable Development Goals: the case of food security', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2023/sess2.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","(""Prof. Nicolo' Cavalli, Bocconi"", 'Vincent Philipp Marohl (Columbia University) & Moritz Pfeifer (Leipzig University) ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and their talk', 'CentralBankRoBERTa: A Fine-Tuned Large Language Model for Central Bank', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2023/sess1.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Ghita Berrada, LSE', 'Dr. Max Falkenberg ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'The Evolution of the Climate Discourse on Twitter: Polarization, Hypocrisy, and the Musk Takeover', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess7.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","(""Prof. Nicolo' Cavalli, Bocconi University"", 'Dr. Eleonora Bertoni, European Commmission', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'The Handbook of Computational Social Science for Policy', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess6.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Petra Kralj Novak, CEU ', 'Prof. Giacomo Calzolari, European University Institute', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Artificial Intelligence, Algorithmic Recommendations and Competition', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess5.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Pedro Ramaciotti Morales, Sciences Po ', 'Prof. Pablo Barberá, Meta & University of Southern California', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Exploring A New Model of Industry/Academic Collaboration: the U.S. 2020 Facebook and Instagram Election Study', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess4.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Erica Thompson, LSE', 'Prof. Bryce Jensen Dietrich, Purdue University', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Using Multimodal Neural Networks to Better Understand How Voters Process Audiovisual Information', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Ken Benoit, LSE', 'Dr. Erica Thompson, LSE', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', ""Models, mathematics, and data science: how to make sure we're answering the right questions"", 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/polarisation/2023.html,"('Welcoming address', 'Polarisation and culture session', 'Data driven approaches for polarisation session', 'Closing remarks: towards an European Polarisation Observatory')","('Keynote: Polarisation and the challenges to democracy', 'European Polarisation Observatory: understanding multidimensional polarisation in France online social networks', 'Polarisation and democracy session')","(['Speaker: Pedro Ramaciotti Morales médialab, Sciences Po', 'Speaker: Vanessa Rubio-Márquez, Associate Dean, School of Public Policy, London School of Economics', 'chaired by Pedro Ramaciotti Morales (médialab, Sciences Po)', 'Pedro Ramaciotti Morales (médialab, Sciences Po) & Antonio Fernandez Peralta (Dept. of Network and Data Sciences, CEU)', '7 presentations of 15min + 5min for questions (20min total each)', '4 presentations of 15min + 5min for questions (20min total each)', 'Speaker: Nicolò Cavalli (Department of Social and Political Sciences, Bocconi University)'],)"
https://socialdatascience.network/spring2023/sess2.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","(""Prof. Nicolo' Cavalli, Bocconi"", 'Prof. Aniko Hannak, University of Zurich ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'New Faces of Bias in Online Platforms', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess1.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Ken Benoit, LSE', 'Pica Johansson ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Introducing the Online Harms Observatory: AI powered mapping of online abuse in real-time', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2022/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Pedro Ramaciotti Morales, Sciences Po', 'Prof. Lisa Singh, Georgetown University', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Using Open Source Data Streams and Surveys to Improve Our Understanding of Elections', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
