title,description,file size and date,additional keywords,link,derived_link
Democracy,"['Democracy', "" (from Ancient Greek: δημοκρατία, romanized:\xa0dēmokratía, dēmos 'people' and kratos 'rule') is a system of government in which state power is...""]","['201 KB (23,948 words) - 18:49, 10 November 2023']",[],/wiki/Democracy,
Types of ,"['Types of ', 'democracy', ' can cluster around values. Some such types (e.g., direct ', 'democracy', ', electronic ', 'democracy', ', participatory ', 'democracy', ', real ', 'democracy', ', deliberative...']","['16 KB (1,748 words) - 23:54, 2 November 2023']",[],/wiki/Types_of_democracy,
Participatory ,"['Participatory ', 'democracy', ', participant ', 'democracy', ' or participative ', 'democracy', ' is a form of government in which citizens participate individually and directly...']","['38 KB (4,120 words) - 13:43, 25 October 2023']",[],/wiki/Participatory_democracy,
E-,"['E-', 'democracy', ' (a blend of the terms electronic and ', 'democracy', '), also known as digital ', 'democracy', ' or Internet ', 'democracy', ', uses information and communication...']","['126 KB (13,734 words) - 20:30, 23 August 2023']",[],/wiki/E-democracy,
Liberal ,"['Liberal ', 'democracy', ', substantive ', 'democracy', ', or western ', 'democracy', ' is a form of government that combines the structure of a representative ', 'democracy', ' with the...']","['105 KB (12,113 words) - 08:11, 8 November 2023']",[],/wiki/Liberal_democracy,
Workplace ,"['Workplace ', 'democracy', ' is the application of ', 'democracy', ' in various forms to the workplace, such as voting systems, debates, democratic structuring, due process...']","['30 KB (3,398 words) - 16:26, 8 November 2023']",[],/wiki/Workplace_democracy,
Direct ,"['Direct ', 'democracy', ' or pure ', 'democracy', ' is a form of ', 'democracy', ' in which the electorate decides on policy initiatives without elected representatives as proxies...']","['48 KB (5,112 words) - 01:22, 9 November 2023']",[],/wiki/Direct_democracy,
Criticism of ,"['Criticism of ', 'democracy', ' has been a key part of ', 'democracy', ' and its functions. ', 'Democracy', ' has been criticized both by internal critics (those who call upon...']","['62 KB (7,521 words) - 18:53, 10 November 2023']",[],/wiki/Criticism_of_democracy,
The Economist ,"['The ', 'Democracy', ' Index is an index measuring ', 'democracy', ' compiled by the Economist Intelligence Unit of the Economist Group, a UK-based private company which...']","['175 KB (2,009 words) - 16:48, 1 November 2023']",[],/wiki/The_Economist_Democracy_Index,
Democracy,"['The debate over ', 'democracy', ' in China has been a major ideological battleground in Chinese politics since the 19th century. China is not a liberal or representative...']","['53 KB (5,909 words) - 02:13, 9 November 2023']",[],/wiki/Democracy_in_China,
Liquid ,"['Liquid ', 'democracy', ' is a form of delegative ', 'democracy', ', whereby an electorate engages in collective decision-making through direct participation and dynamic...']","['32 KB (3,783 words) - 07:37, 24 July 2023']",[],/wiki/Liquid_democracy,
Islam and ,"['There exist a number of perspectives on the relationship of Islam and ', 'democracy', ' among Islamic political theorists, the general Muslim public, and Western...']","['116 KB (10,956 words) - 17:01, 7 November 2023']",[],/wiki/Islam_and_democracy,
Totalitarian ,"['Totalitarian ', 'democracy', ' is a term popularized by Israeli historian Jacob Leib Talmon to refer to a system of government in which lawfully elected representatives...']","['9 KB (1,065 words) - 06:49, 10 November 2023']",[],/wiki/Totalitarian_democracy,
Representative ,"['Representative ', 'democracy', ', also known as indirect ', 'democracy', ', is a type of ', 'democracy', ' where elected delegates represent a group of people, in contrast to...']","['25 KB (2,857 words) - 22:17, 2 November 2023']",[],/wiki/Representative_democracy,
Democracy,"['Democracy', ' movements of China are a series of organized political movements, inside and outside of China, addressing a variety of grievances, including...']","['9 KB (970 words) - 07:34, 15 June 2023']",[],/wiki/Democracy_movements_of_China,
Democracy,"['Democracy', "" Now! is an hour-long American TV, radio, and Internet news program hosted by journalists Amy Goodman (who also acts as the show's executive...""]","['43 KB (3,303 words) - 13:35, 31 October 2023']",[],/wiki/Democracy_Now!,
Socialist ,"['Socialist ', 'democracy', ' is a political system that aligns with principles of both socialism and ', 'democracy', '. It includes ideologies such as council communism...']","['14 KB (1,588 words) - 18:55, 3 November 2023']",[],/wiki/Socialist_democracy,
