FarmID,FarmName,City,Latitude,Longitude,Owner,FarmEstablishedYear,FarmSizeHectares,FarmType,NumberOfEmployees
1,Green Valley Farm,London,51.5287,-0.0813,Owner 1,1952,277,Dairy,46
2,Oakwood Estate,Kent,51.2355,0.4908,Owner 2,1978,127,Greenhouse,14
3,Riverbend Farm,Essex,51.7726,0.2714,Owner 3,1963,198,Sheep Farm,35
4,Maple Acres,Hertfordshire,51.7271,-0.2454,Owner 4,1977,143,Mixed Livestock,11
5,Willow Grove,Surrey,51.2985,-0.5221,Owner 5,1973,296,Horse Breeding,40
6,Hilltop Pastures,Buckinghamshire,51.9991,-0.9762,Owner 6,1999,223,Free-Range Poultry,17
7,Highland Ranch,East Sussex,50.8762,0.0501,Owner 7,1953,84,Cattle Ranch,46
8,Sunrise Meadows,West Sussex,50.9382,-0.4267,Owner 8,1958,250,Arable Crop,17
9,Crescent Fields,London,51.4943,-0.1356,Owner 9,1986,191,Dairy,49
10,Harvest Acres,Kent,51.3202,0.4973,Owner 10,1957,286,Greenhouse,10
11,Brookside Meadows,Essex,51.8024,0.2862,Owner 11,1982,205,Sheep Farm,39
12,Golden Vale,Hertfordshire,51.7303,-0.1949,Owner 12,1969,290,Mixed Livestock,24
13,Silver Brook,Surrey,51.2934,-0.5836,Owner 13,2001,83,Horse Breeding,47
14,Windmill Farm,Buckinghamshire,51.9761,-0.9658,Owner 14,1998,273,Free-Range Poultry,29
15,Meadow Hill,East Sussex,50.9134,0.0784,Owner 15,2003,117,Cattle Ranch,25
16,Oakridge Farm,West Sussex,50.9293,-0.4741,Owner 16,1959,160,Arable Crop,31
17,Seaside Haven,London,51.5238,-0.1293,Owner 17,1970,298,Dairy,14
18,Highgrove Estate,Kent,51.3133,0.5386,Owner 18,1981,243,Greenhouse,41
19,Green Gables,Essex,51.7955,0.2024,Owner 19,1965,291,Sheep Farm,22
20,Stonebridge Farm,Hertfordshire,51.7622,-0.2456,Owner 20,1984,143,Mixed Livestock,9
21,Meadowland Farms,Surrey,51.2826,-0.5967,Owner 21,1954,158,Horse Breeding,13
22,Sunnybrook Farm,Buckinghamshire,51.9421,-0.9565,Owner 22,1976,192,Free-Range Poultry,28
23,Eagle's Nest Farm,East Sussex,50.8789,0.0445,Owner 23,1988,221,Cattle Ranch,12
24,Fox Hollow,West Sussex,50.9533,-0.4202,Owner 24,1961,246,Arable Crop,44
25,Bluebell Farm,London,51.5335,-0.1036,Owner 25,1962,224,Dairy,16
26,Fairview Farm,Kent,51.3022,0.5341,Owner 26,1950,73,Greenhouse,18
27,Northstar Homestead,Essex,51.7691,0.2347,Owner 27,1967,229,Sheep Farm,43
28,Lavender Lane Farm,Hertfordshire,51.7695,-0.2302,Owner 28,2004,137,Mixed Livestock,5
29,Rolling Hills Estate,Surrey,51.3241,-0.5422,Owner 29,1956,213,Horse Breeding,42
30,Timberland Farm,Buckinghamshire,51.9996,-0.9753,Owner 30,1996,288,Free-Range Poultry,10
31,Willow Creek Farm,East Sussex,50.8882,0.0874,Owner 31,1975,82,Cattle Ranch,12
32,Autumn Ridge,West Sussex,50.9424,-0.4589,Owner 32,2002,218,Arable Crop,48
33,Elmwood Homestead,London,51.5125,-0.1511,Owner 33,1951,190,Dairy,11
34,Forest Glen Farm,Kent,51.2956,0.5521,Owner 34,1971,124,Greenhouse,46
35,Granite Ridge,Essex,51.7445,0.2143,Owner 35,2000,103,Sheep Farm,47
36,Harmony Grove,Hertfordshire,51.7466,-0.2021,Owner 36,1974,210,Mixed Livestock,9
37,Prairie Wind,Surrey,51.3374,-0.5228,Owner 37,1985,291,Horse Breeding,30
38,Riverside Ranch,Buckinghamshire,51.9812,-0.9389,Owner 38,1958,221,Free-Range Poultry,39
39,Royal Oak Farm,East Sussex,50.8945,0.0864,Owner 39,1992,298,Cattle Ranch,13
40,Serendipity Ranch,West Sussex,50.9613,-0.4377,Owner 40,1979,133,Arable Crop,36
41,Shady Oaks Farm,London,51.5454,-0.0933,Owner 41,2006,159,Dairy,46
42,Spring Blossom Farm,Kent,51.2781,0.5367,Owner 42,1952,73,Greenhouse,12
43,Summerfield Farm,Essex,51.7743,0.2812,Owner 43,1969,106,Sheep Farm,7
44,Sweetwater Estates,Hertfordshire,51.7634,-0.2541,Owner 44,1983,252,Mixed Livestock,44
45,Thornberry Farm,Surrey,51.3436,-0.5723,Owner 45,1970,296,Horse Breeding,17
46,White Oak Meadows,Buckinghamshire,51.9734,-0.9419,Owner 46,1966,148,Free-Range Poultry,25
