air_temp,dni,ghi,period_end,period
8,0,0,2019-01-01T01:00:00+00:00,PT60M
8,0,0,2019-01-01T02:00:00+00:00,PT60M
7,0,0,2019-01-01T03:00:00+00:00,PT60M
7,0,0,2019-01-01T04:00:00+00:00,PT60M
7,0,0,2019-01-01T05:00:00+00:00,PT60M
7,0,0,2019-01-01T06:00:00+00:00,PT60M
7,0,0,2019-01-01T07:00:00+00:00,PT60M
6,0,0,2019-01-01T08:00:00+00:00,PT60M
7,31,17,2019-01-01T09:00:00+00:00,PT60M
7,0,48,2019-01-01T10:00:00+00:00,PT60M
8,0,75,2019-01-01T11:00:00+00:00,PT60M
9,0,115,2019-01-01T12:00:00+00:00,PT60M
10,0,118,2019-01-01T13:00:00+00:00,PT60M
10,63,101,2019-01-01T14:00:00+00:00,PT60M
10,214,97,2019-01-01T15:00:00+00:00,PT60M
9,114,27,2019-01-01T16:00:00+00:00,PT60M
9,0,0,2019-01-01T17:00:00+00:00,PT60M
8,0,0,2019-01-01T18:00:00+00:00,PT60M
7,0,0,2019-01-01T19:00:00+00:00,PT60M
6,0,0,2019-01-01T20:00:00+00:00,PT60M
6,0,0,2019-01-01T21:00:00+00:00,PT60M
5,0,0,2019-01-01T22:00:00+00:00,PT60M
4,0,0,2019-01-01T23:00:00+00:00,PT60M
4,0,0,2019-01-02T00:00:00+00:00,PT60M
3,0,0,2019-01-02T01:00:00+00:00,PT60M
3,0,0,2019-01-02T02:00:00+00:00,PT60M
3,0,0,2019-01-02T03:00:00+00:00,PT60M
3,0,0,2019-01-02T04:00:00+00:00,PT60M
3,0,0,2019-01-02T05:00:00+00:00,PT60M
3,0,0,2019-01-02T06:00:00+00:00,PT60M
3,0,0,2019-01-02T07:00:00+00:00,PT60M
3,0,0,2019-01-02T08:00:00+00:00,PT60M
2,0,9,2019-01-02T09:00:00+00:00,PT60M
3,0,33,2019-01-02T10:00:00+00:00,PT60M
4,0,68,2019-01-02T11:00:00+00:00,PT60M
4,0,100,2019-01-02T12:00:00+00:00,PT60M
5,0,101,2019-01-02T13:00:00+00:00,PT60M
5,0,87,2019-01-02T14:00:00+00:00,PT60M
5,0,58,2019-01-02T15:00:00+00:00,PT60M
5,83,27,2019-01-02T16:00:00+00:00,PT60M
5,0,0,2019-01-02T17:00:00+00:00,PT60M
5,0,0,2019-01-02T18:00:00+00:00,PT60M
5,0,0,2019-01-02T19:00:00+00:00,PT60M
5,0,0,2019-01-02T20:00:00+00:00,PT60M
5,0,0,2019-01-02T21:00:00+00:00,PT60M
4,0,0,2019-01-02T22:00:00+00:00,PT60M
4,0,0,2019-01-02T23:00:00+00:00,PT60M
4,0,0,2019-01-03T00:00:00+00:00,PT60M
4,0,0,2019-01-03T01:00:00+00:00,PT60M
3,0,0,2019-01-03T02:00:00+00:00,PT60M
3,0,0,2019-01-03T03:00:00+00:00,PT60M
3,0,0,2019-01-03T04:00:00+00:00,PT60M
3,0,0,2019-01-03T05:00:00+00:00,PT60M
3,0,0,2019-01-03T06:00:00+00:00,PT60M
3,0,0,2019-01-03T07:00:00+00:00,PT60M
3,0,0,2019-01-03T08:00:00+00:00,PT60M
3,13,15,2019-01-03T09:00:00+00:00,PT60M
4,0,26,2019-01-03T10:00:00+00:00,PT60M
4,0,59,2019-01-03T11:00:00+00:00,PT60M
4,0,75,2019-01-03T12:00:00+00:00,PT60M
4,0,74,2019-01-03T13:00:00+00:00,PT60M
4,0,78,2019-01-03T14:00:00+00:00,PT60M
4,0,49,2019-01-03T15:00:00+00:00,PT60M
4,77,27,2019-01-03T16:00:00+00:00,PT60M
3,0,0,2019-01-03T17:00:00+00:00,PT60M
3,0,0,2019-01-03T18:00:00+00:00,PT60M
3,0,0,2019-01-03T19:00:00+00:00,PT60M
2,0,0,2019-01-03T20:00:00+00:00,PT60M
2,0,0,2019-01-03T21:00:00+00:00,PT60M
1,0,0,2019-01-03T22:00:00+00:00,PT60M
0,0,0,2019-01-03T23:00:00+00:00,PT60M
-0,0,0,2019-01-04T00:00:00+00:00,PT60M
-0,0,0,2019-01-04T01:00:00+00:00,PT60M
-1,0,0,2019-01-04T02:00:00+00:00,PT60M
-1,0,0,2019-01-04T03:00:00+00:00,PT60M
-1,0,0,2019-01-04T04:00:00+00:00,PT60M
-1,0,0,2019-01-04T05:00:00+00:00,PT60M
-1,0,0,2019-01-04T06:00:00+00:00,PT60M
-1,0,0,2019-01-04T07:00:00+00:00,PT60M
-1,0,0,2019-01-04T08:00:00+00:00,PT60M
-1,23,16,2019-01-04T09:00:00+00:00,PT60M
-0,427,108,2019-01-04T10:00:00+00:00,PT60M
1,675,195,2019-01-04T11:00:00+00:00,PT60M
2,620,231,2019-01-04T12:00:00+00:00,PT60M
2,237,188,2019-01-04T13:00:00+00:00,PT60M
2,62,133,2019-01-04T14:00:00+00:00,PT60M
3,0,67,2019-01-04T15:00:00+00:00,PT60M
2,0,19,2019-01-04T16:00:00+00:00,PT60M
2,0,0,2019-01-04T17:00:00+00:00,PT60M
2,0,0,2019-01-04T18:00:00+00:00,PT60M
1,0,0,2019-01-04T19:00:00+00:00,PT60M
2,0,0,2019-01-04T20:00:00+00:00,PT60M
2,0,0,2019-01-04T21:00:00+00:00,PT60M
2,0,0,2019-01-04T22:00:00+00:00,PT60M
2,0,0,2019-01-04T23:00:00+00:00,PT60M
2,0,0,2019-01-05T00:00:00+00:00,PT60M
2,0,0,2019-01-05T01:00:00+00:00,PT60M
3,0,0,2019-01-05T02:00:00+00:00,PT60M
3,0,0,2019-01-05T03:00:00+00:00,PT60M
3,0,0,2019-01-05T04:00:00+00:00,PT60M
3,0,0,2019-01-05T05:00:00+00:00,PT60M
3,0,0,2019-01-05T06:00:00+00:00,PT60M
3,0,0,2019-01-05T07:00:00+00:00,PT60M
3,0,0,2019-01-05T08:00:00+00:00,PT60M
3,8,13,2019-01-05T09:00:00+00:00,PT60M
4,0,18,2019-01-05T10:00:00+00:00,PT60M
4,0,23,2019-01-05T11:00:00+00:00,PT60M
4,0,54,2019-01-05T12:00:00+00:00,PT60M
4,0,58,2019-01-05T13:00:00+00:00,PT60M
4,0,50,2019-01-05T14:00:00+00:00,PT60M
4,0,39,2019-01-05T15:00:00+00:00,PT60M
4,77,28,2019-01-05T16:00:00+00:00,PT60M
5,0,0,2019-01-05T17:00:00+00:00,PT60M
5,0,0,2019-01-05T18:00:00+00:00,PT60M
4,0,0,2019-01-05T19:00:00+00:00,PT60M
4,0,0,2019-01-05T20:00:00+00:00,PT60M
5,0,0,2019-01-05T21:00:00+00:00,PT60M
5,0,0,2019-01-05T22:00:00+00:00,PT60M
5,0,0,2019-01-05T23:00:00+00:00,PT60M
5,0,0,2019-01-06T00:00:00+00:00,PT60M
5,0,0,2019-01-06T01:00:00+00:00,PT60M
6,0,0,2019-01-06T02:00:00+00:00,PT60M
6,0,0,2019-01-06T03:00:00+00:00,PT60M
5,0,0,2019-01-06T04:00:00+00:00,PT60M
6,0,0,2019-01-06T05:00:00+00:00,PT60M
6,0,0,2019-01-06T06:00:00+00:00,PT60M
6,0,0,2019-01-06T07:00:00+00:00,PT60M
5,0,0,2019-01-06T08:00:00+00:00,PT60M
5,0,5,2019-01-06T09:00:00+00:00,PT60M
6,0,57,2019-01-06T10:00:00+00:00,PT60M
7,3,89,2019-01-06T11:00:00+00:00,PT60M
7,0,96,2019-01-06T12:00:00+00:00,PT60M
7,0,108,2019-01-06T13:00:00+00:00,PT60M
8,0,102,2019-01-06T14:00:00+00:00,PT60M
8,1,64,2019-01-06T15:00:00+00:00,PT60M
9,85,31,2019-01-06T16:00:00+00:00,PT60M
9,0,0,2019-01-06T17:00:00+00:00,PT60M
8,0,0,2019-01-06T18:00:00+00:00,PT60M
8,0,0,2019-01-06T19:00:00+00:00,PT60M
8,0,0,2019-01-06T20:00:00+00:00,PT60M
8,0,0,2019-01-06T21:00:00+00:00,PT60M
8,0,0,2019-01-06T22:00:00+00:00,PT60M
8,0,0,2019-01-06T23:00:00+00:00,PT60M
7,0,0,2019-01-07T00:00:00+00:00,PT60M
7,0,0,2019-01-07T01:00:00+00:00,PT60M
7,0,0,2019-01-07T02:00:00+00:00,PT60M
7,0,0,2019-01-07T03:00:00+00:00,PT60M
7,0,0,2019-01-07T04:00:00+00:00,PT60M
7,0,0,2019-01-07T05:00:00+00:00,PT60M
7,0,0,2019-01-07T06:00:00+00:00,PT60M
7,0,0,2019-01-07T07:00:00+00:00,PT60M
7,0,0,2019-01-07T08:00:00+00:00,PT60M
7,0,9,2019-01-07T09:00:00+00:00,PT60M
7,0,50,2019-01-07T10:00:00+00:00,PT60M
8,0,70,2019-01-07T11:00:00+00:00,PT60M
9,0,90,2019-01-07T12:00:00+00:00,PT60M
9,0,67,2019-01-07T13:00:00+00:00,PT60M
10,0,39,2019-01-07T14:00:00+00:00,PT60M
10,0,35,2019-01-07T15:00:00+00:00,PT60M
10,0,11,2019-01-07T16:00:00+00:00,PT60M
10,0,0,2019-01-07T17:00:00+00:00,PT60M
10,0,0,2019-01-07T18:00:00+00:00,PT60M
10,0,0,2019-01-07T19:00:00+00:00,PT60M
10,0,0,2019-01-07T20:00:00+00:00,PT60M
10,0,0,2019-01-07T21:00:00+00:00,PT60M
10,0,0,2019-01-07T22:00:00+00:00,PT60M
9,0,0,2019-01-07T23:00:00+00:00,PT60M
9,0,0,2019-01-08T00:00:00+00:00,PT60M
8,0,0,2019-01-08T01:00:00+00:00,PT60M
7,0,0,2019-01-08T02:00:00+00:00,PT60M
7,0,0,2019-01-08T03:00:00+00:00,PT60M
7,0,0,2019-01-08T04:00:00+00:00,PT60M
6,0,0,2019-01-08T05:00:00+00:00,PT60M
6,0,0,2019-01-08T06:00:00+00:00,PT60M
6,0,0,2019-01-08T07:00:00+00:00,PT60M
6,0,0,2019-01-08T08:00:00+00:00,PT60M
6,0,11,2019-01-08T09:00:00+00:00,PT60M
6,389,106,2019-01-08T10:00:00+00:00,PT60M
7,646,195,2019-01-08T11:00:00+00:00,PT60M
8,718,244,2019-01-08T12:00:00+00:00,PT60M
8,712,248,2019-01-08T13:00:00+00:00,PT60M
8,679,210,2019-01-08T14:00:00+00:00,PT60M
8,567,135,2019-01-08T15:00:00+00:00,PT60M
7,228,41,2019-01-08T16:00:00+00:00,PT60M
6,0,0,2019-01-08T17:00:00+00:00,PT60M
6,0,0,2019-01-08T18:00:00+00:00,PT60M
5,0,0,2019-01-08T19:00:00+00:00,PT60M
5,0,0,2019-01-08T20:00:00+00:00,PT60M
4,0,0,2019-01-08T21:00:00+00:00,PT60M
4,0,0,2019-01-08T22:00:00+00:00,PT60M
3,0,0,2019-01-08T23:00:00+00:00,PT60M
3,0,0,2019-01-09T00:00:00+00:00,PT60M
3,0,0,2019-01-09T01:00:00+00:00,PT60M
2,0,0,2019-01-09T02:00:00+00:00,PT60M
2,0,0,2019-01-09T03:00:00+00:00,PT60M
2,0,0,2019-01-09T04:00:00+00:00,PT60M
3,0,0,2019-01-09T05:00:00+00:00,PT60M
3,0,0,2019-01-09T06:00:00+00:00,PT60M
3,0,0,2019-01-09T07:00:00+00:00,PT60M
2,0,0,2019-01-09T08:00:00+00:00,PT60M
2,29,19,2019-01-09T09:00:00+00:00,PT60M
2,0,58,2019-01-09T10:00:00+00:00,PT60M
3,166,145,2019-01-09T11:00:00+00:00,PT60M
4,56,129,2019-01-09T12:00:00+00:00,PT60M
4,163,157,2019-01-09T13:00:00+00:00,PT60M
5,80,126,2019-01-09T14:00:00+00:00,PT60M
5,0,80,2019-01-09T15:00:00+00:00,PT60M
4,0,22,2019-01-09T16:00:00+00:00,PT60M
4,0,0,2019-01-09T17:00:00+00:00,PT60M
4,0,0,2019-01-09T18:00:00+00:00,PT60M
3,0,0,2019-01-09T19:00:00+00:00,PT60M
3,0,0,2019-01-09T20:00:00+00:00,PT60M
3,0,0,2019-01-09T21:00:00+00:00,PT60M
3,0,0,2019-01-09T22:00:00+00:00,PT60M
2,0,0,2019-01-09T23:00:00+00:00,PT60M
2,0,0,2019-01-10T00:00:00+00:00,PT60M
2,0,0,2019-01-10T01:00:00+00:00,PT60M
1,0,0,2019-01-10T02:00:00+00:00,PT60M
1,0,0,2019-01-10T03:00:00+00:00,PT60M
1,0,0,2019-01-10T04:00:00+00:00,PT60M
0,0,0,2019-01-10T05:00:00+00:00,PT60M
-0,0,0,2019-01-10T06:00:00+00:00,PT60M
-0,0,0,2019-01-10T07:00:00+00:00,PT60M
0,0,0,2019-01-10T08:00:00+00:00,PT60M
1,0,9,2019-01-10T09:00:00+00:00,PT60M
1,0,19,2019-01-10T10:00:00+00:00,PT60M
2,0,62,2019-01-10T11:00:00+00:00,PT60M
2,0,85,2019-01-10T12:00:00+00:00,PT60M
3,0,100,2019-01-10T13:00:00+00:00,PT60M
4,0,86,2019-01-10T14:00:00+00:00,PT60M
4,0,53,2019-01-10T15:00:00+00:00,PT60M
4,0,20,2019-01-10T16:00:00+00:00,PT60M
4,0,0,2019-01-10T17:00:00+00:00,PT60M
5,0,0,2019-01-10T18:00:00+00:00,PT60M
5,0,0,2019-01-10T19:00:00+00:00,PT60M
5,0,0,2019-01-10T20:00:00+00:00,PT60M
6,0,0,2019-01-10T21:00:00+00:00,PT60M
6,0,0,2019-01-10T22:00:00+00:00,PT60M
7,0,0,2019-01-10T23:00:00+00:00,PT60M
7,0,0,2019-01-11T00:00:00+00:00,PT60M
7,0,0,2019-01-11T01:00:00+00:00,PT60M
7,0,0,2019-01-11T02:00:00+00:00,PT60M
7,0,0,2019-01-11T03:00:00+00:00,PT60M
7,0,0,2019-01-11T04:00:00+00:00,PT60M
7,0,0,2019-01-11T05:00:00+00:00,PT60M
6,0,0,2019-01-11T06:00:00+00:00,PT60M
6,0,0,2019-01-11T07:00:00+00:00,PT60M
6,0,0,2019-01-11T08:00:00+00:00,PT60M
6,0,5,2019-01-11T09:00:00+00:00,PT60M
6,0,36,2019-01-11T10:00:00+00:00,PT60M
6,0,89,2019-01-11T11:00:00+00:00,PT60M
7,176,173,2019-01-11T12:00:00+00:00,PT60M
7,347,210,2019-01-11T13:00:00+00:00,PT60M
7,618,211,2019-01-11T14:00:00+00:00,PT60M
7,372,127,2019-01-11T15:00:00+00:00,PT60M
7,58,35,2019-01-11T16:00:00+00:00,PT60M
7,0,0,2019-01-11T17:00:00+00:00,PT60M
7,0,0,2019-01-11T18:00:00+00:00,PT60M
7,0,0,2019-01-11T19:00:00+00:00,PT60M
7,0,0,2019-01-11T20:00:00+00:00,PT60M
7,0,0,2019-01-11T21:00:00+00:00,PT60M
7,0,0,2019-01-11T22:00:00+00:00,PT60M
6,0,0,2019-01-11T23:00:00+00:00,PT60M
6,0,0,2019-01-12T00:00:00+00:00,PT60M
7,0,0,2019-01-12T01:00:00+00:00,PT60M
7,0,0,2019-01-12T02:00:00+00:00,PT60M
7,0,0,2019-01-12T03:00:00+00:00,PT60M
7,0,0,2019-01-12T04:00:00+00:00,PT60M
7,0,0,2019-01-12T05:00:00+00:00,PT60M
7,0,0,2019-01-12T06:00:00+00:00,PT60M
7,0,0,2019-01-12T07:00:00+00:00,PT60M
8,0,0,2019-01-12T08:00:00+00:00,PT60M
8,0,12,2019-01-12T09:00:00+00:00,PT60M
8,0,18,2019-01-12T10:00:00+00:00,PT60M
9,0,37,2019-01-12T11:00:00+00:00,PT60M
9,0,42,2019-01-12T12:00:00+00:00,PT60M
9,0,67,2019-01-12T13:00:00+00:00,PT60M
9,0,66,2019-01-12T14:00:00+00:00,PT60M
9,0,59,2019-01-12T15:00:00+00:00,PT60M
9,0,22,2019-01-12T16:00:00+00:00,PT60M
9,0,0,2019-01-12T17:00:00+00:00,PT60M
9,0,0,2019-01-12T18:00:00+00:00,PT60M
9,0,0,2019-01-12T19:00:00+00:00,PT60M
9,0,0,2019-01-12T20:00:00+00:00,PT60M
9,0,0,2019-01-12T21:00:00+00:00,PT60M
9,0,0,2019-01-12T22:00:00+00:00,PT60M
10,0,0,2019-01-12T23:00:00+00:00,PT60M
10,0,0,2019-01-13T00:00:00+00:00,PT60M
10,0,0,2019-01-13T01:00:00+00:00,PT60M
10,0,0,2019-01-13T02:00:00+00:00,PT60M
10,0,0,2019-01-13T03:00:00+00:00,PT60M
10,0,0,2019-01-13T04:00:00+00:00,PT60M
10,0,0,2019-01-13T05:00:00+00:00,PT60M
10,0,0,2019-01-13T06:00:00+00:00,PT60M
10,0,0,2019-01-13T07:00:00+00:00,PT60M
10,0,0,2019-01-13T08:00:00+00:00,PT60M
9,0,7,2019-01-13T09:00:00+00:00,PT60M
9,0,19,2019-01-13T10:00:00+00:00,PT60M
10,17,91,2019-01-13T11:00:00+00:00,PT60M
10,0,111,2019-01-13T12:00:00+00:00,PT60M
10,0,118,2019-01-13T13:00:00+00:00,PT60M
10,17,125,2019-01-13T14:00:00+00:00,PT60M
10,0,52,2019-01-13T15:00:00+00:00,PT60M
11,0,16,2019-01-13T16:00:00+00:00,PT60M
11,0,0,2019-01-13T17:00:00+00:00,PT60M
10,0,0,2019-01-13T18:00:00+00:00,PT60M
10,0,0,2019-01-13T19:00:00+00:00,PT60M
10,0,0,2019-01-13T20:00:00+00:00,PT60M
9,0,0,2019-01-13T21:00:00+00:00,PT60M
9,0,0,2019-01-13T22:00:00+00:00,PT60M
9,0,0,2019-01-13T23:00:00+00:00,PT60M
8,0,0,2019-01-14T00:00:00+00:00,PT60M
8,0,0,2019-01-14T01:00:00+00:00,PT60M
7,0,0,2019-01-14T02:00:00+00:00,PT60M
7,0,0,2019-01-14T03:00:00+00:00,PT60M
7,0,0,2019-01-14T04:00:00+00:00,PT60M
7,0,0,2019-01-14T05:00:00+00:00,PT60M
6,0,0,2019-01-14T06:00:00+00:00,PT60M
6,0,0,2019-01-14T07:00:00+00:00,PT60M
6,0,0,2019-01-14T08:00:00+00:00,PT60M
6,109,26,2019-01-14T09:00:00+00:00,PT60M
7,386,110,2019-01-14T10:00:00+00:00,PT60M
7,0,86,2019-01-14T11:00:00+00:00,PT60M
8,0,105,2019-01-14T12:00:00+00:00,PT60M
8,0,111,2019-01-14T13:00:00+00:00,PT60M
8,2,96,2019-01-14T14:00:00+00:00,PT60M
8,68,98,2019-01-14T15:00:00+00:00,PT60M
8,34,39,2019-01-14T16:00:00+00:00,PT60M
8,0,1,2019-01-14T17:00:00+00:00,PT60M
7,0,0,2019-01-14T18:00:00+00:00,PT60M
7,0,0,2019-01-14T19:00:00+00:00,PT60M
6,0,0,2019-01-14T20:00:00+00:00,PT60M
6,0,0,2019-01-14T21:00:00+00:00,PT60M
5,0,0,2019-01-14T22:00:00+00:00,PT60M
4,0,0,2019-01-14T23:00:00+00:00,PT60M
4,0,0,2019-01-15T00:00:00+00:00,PT60M
3,0,0,2019-01-15T01:00:00+00:00,PT60M
3,0,0,2019-01-15T02:00:00+00:00,PT60M
3,0,0,2019-01-15T03:00:00+00:00,PT60M
3,0,0,2019-01-15T04:00:00+00:00,PT60M
3,0,0,2019-01-15T05:00:00+00:00,PT60M
4,0,0,2019-01-15T06:00:00+00:00,PT60M
4,0,0,2019-01-15T07:00:00+00:00,PT60M
4,0,0,2019-01-15T08:00:00+00:00,PT60M
5,34,20,2019-01-15T09:00:00+00:00,PT60M
6,0,31,2019-01-15T10:00:00+00:00,PT60M
7,0,89,2019-01-15T11:00:00+00:00,PT60M
8,0,88,2019-01-15T12:00:00+00:00,PT60M
8,0,105,2019-01-15T13:00:00+00:00,PT60M
8,0,102,2019-01-15T14:00:00+00:00,PT60M
8,0,63,2019-01-15T15:00:00+00:00,PT60M
8,0,32,2019-01-15T16:00:00+00:00,PT60M
